method,task,metric,value,cost_value
cap,flocking,spatial_variance,0.25518752555267166,0.25518752555267166
cap,flocking,mean_dtw_distance,201.6222585007868,201.6222585007868
cap,flocking,spatial_variance,0.23649501642362447,0.23649501642362447
cap,flocking,mean_dtw_distance,526.5140121822526,526.5140121822526
cap,flocking,spatial_variance,0.25453707822651367,0.25453707822651367
cap,flocking,mean_dtw_distance,547.8294678609443,547.8294678609443
cap,flocking,spatial_variance,0.08296785082946176,0.08296785082946176
cap,flocking,mean_dtw_distance,398.10648072488584,398.10648072488584
cap,flocking,spatial_variance,1.7914372285119085,1.7914372285119085
cap,flocking,mean_dtw_distance,2664.797957686493,2664.797957686493
cap,flocking,spatial_variance,0.25886989759629037,0.25886989759629037
cap,flocking,mean_dtw_distance,729.109617858984,729.109617858984
cap,flocking,spatial_variance,8.722973077583191,8.722973077583191
cap,flocking,mean_dtw_distance,2731.576905240588,2731.576905240588
cap,flocking,spatial_variance,0.2735230021264805,0.2735230021264805
cap,flocking,mean_dtw_distance,753.9560250311049,753.9560250311049
cap,flocking,spatial_variance,0.27985391657459674,0.27985391657459674
cap,flocking,mean_dtw_distance,576.0265781078056,576.0265781078056
cap,flocking,spatial_variance,0.4858673105966829,0.4858673105966829
cap,flocking,mean_dtw_distance,701.393301541697,701.393301541697
cap,flocking,spatial_variance,0.357395271337541,0.357395271337541
cap,flocking,mean_dtw_distance,208.06206966328384,208.06206966328384
cap,flocking,spatial_variance,0.09419276999009396,0.09419276999009396
cap,flocking,mean_dtw_distance,471.45560820170243,471.45560820170243
cap,flocking,spatial_variance,0.13356471380106708,0.13356471380106708
cap,flocking,mean_dtw_distance,385.8228246655777,385.8228246655777
cap,flocking,spatial_variance,11.732202766366186,11.732202766366186
cap,flocking,mean_dtw_distance,5451.9069374416795,5451.9069374416795
cap,flocking,spatial_variance,0.1892245973548551,0.1892245973548551
cap,flocking,mean_dtw_distance,535.1862884054573,535.1862884054573
cap,flocking,spatial_variance,0.20790017257330234,0.20790017257330234
cap,flocking,mean_dtw_distance,390.57857411527056,390.57857411527056
cap,flocking,spatial_variance,0.42116343978098175,0.42116343978098175
cap,flocking,mean_dtw_distance,192.19501408554063,192.19501408554063
cap,flocking,spatial_variance,0.4037162201860675,0.4037162201860675
cap,flocking,mean_dtw_distance,223.86119118568504,223.86119118568504
cap,flocking,spatial_variance,0.43699607394668355,0.43699607394668355
cap,flocking,mean_dtw_distance,660.830451562276,660.830451562276
cap,flocking,spatial_variance,0.36489758517072574,0.36489758517072574
cap,flocking,mean_dtw_distance,1274.4830868656404,1274.4830868656404
cap,flocking,spatial_variance,0.08648749804099509,0.08648749804099509
cap,flocking,mean_dtw_distance,557.8510679263892,557.8510679263892
cap,flocking,spatial_variance,0.06636653358102362,0.06636653358102362
cap,flocking,mean_dtw_distance,393.33359135233485,393.33359135233485
cap,flocking,spatial_variance,12.21454315925206,12.21454315925206
cap,flocking,mean_dtw_distance,6219.842862837465,6219.842862837465
cap,flocking,spatial_variance,0.8287218923846125,0.8287218923846125
cap,flocking,mean_dtw_distance,1212.5011424438264,1212.5011424438264
cap,flocking,spatial_variance,4.375704237176491,4.375704237176491
cap,flocking,mean_dtw_distance,2500.634829892682,2500.634829892682
cap,flocking,spatial_variance,1.812702615575572,1.812702615575572
cap,flocking,mean_dtw_distance,1480.4466774167904,1480.4466774167904
cap,flocking,spatial_variance,2.3992786872208116,2.3992786872208116
cap,flocking,mean_dtw_distance,2525.562304440572,2525.562304440572
cap,flocking,spatial_variance,0.13225363970033716,0.13225363970033716
cap,flocking,mean_dtw_distance,420.3472162370471,420.3472162370471
cap,flocking,spatial_variance,0.13840833874598485,0.13840833874598485
cap,flocking,mean_dtw_distance,430.1766202149626,430.1766202149626
cap,flocking,spatial_variance,0.6253540587096895,0.6253540587096895
cap,flocking,mean_dtw_distance,562.7508271734077,562.7508271734077
cap,flocking,spatial_variance,0.16539776533704706,0.16539776533704706
cap,flocking,mean_dtw_distance,529.8726695783841,529.8726695783841
cap,flocking,spatial_variance,0.34688635309583427,0.34688635309583427
cap,flocking,mean_dtw_distance,847.9933851264126,847.9933851264126
cap,flocking,spatial_variance,0.19641530358843692,0.19641530358843692
cap,flocking,mean_dtw_distance,576.6569102425763,576.6569102425763
cap,flocking,spatial_variance,0.08678957996360093,0.08678957996360093
cap,flocking,mean_dtw_distance,454.1677637037996,454.1677637037996
cap,flocking,spatial_variance,4.40522620344181,4.40522620344181
cap,flocking,mean_dtw_distance,3413.379156162954,3413.379156162954
cap,flocking,spatial_variance,2.8196510491603908,2.8196510491603908
cap,flocking,mean_dtw_distance,3226.5616687136994,3226.5616687136994
cap,flocking,spatial_variance,0.21379673598329024,0.21379673598329024
cap,flocking,mean_dtw_distance,614.9597153970515,614.9597153970515
cap,flocking,spatial_variance,0.30440666452691345,0.30440666452691345
cap,flocking,mean_dtw_distance,792.5516032084419,792.5516032084419
cap,flocking,spatial_variance,1.4295397852421468,1.4295397852421468
cap,flocking,mean_dtw_distance,225.93266309902927,225.93266309902927
cap,flocking,spatial_variance,0.8523986160900185,0.8523986160900185
cap,flocking,mean_dtw_distance,1179.785172129377,1179.785172129377
cap,flocking,spatial_variance,0.1341678221599896,0.1341678221599896
cap,flocking,mean_dtw_distance,503.85589515117726,503.85589515117726
cap,flocking,spatial_variance,0.307436372034169,0.307436372034169
cap,flocking,mean_dtw_distance,794.3744152421714,794.3744152421714
cap,flocking,spatial_variance,0.39863487328255187,0.39863487328255187
cap,flocking,mean_dtw_distance,691.6987369593691,691.6987369593691
cap,flocking,spatial_variance,0.29236767814526693,0.29236767814526693
cap,flocking,mean_dtw_distance,1168.512680676758,1168.512680676758
cap,flocking,spatial_variance,12.008975685517974,12.008975685517974
cap,flocking,mean_dtw_distance,6116.267334099802,6116.267334099802
cap,flocking,spatial_variance,7.627272162849537,7.627272162849537
cap,flocking,mean_dtw_distance,3892.652766172848,3892.652766172848
cap,flocking,spatial_variance,0.30861636978097823,0.30861636978097823
cap,flocking,mean_dtw_distance,794.6626338573745,794.6626338573745
cap,flocking,spatial_variance,0.22333019570819385,0.22333019570819385
cap,flocking,mean_dtw_distance,714.4177171450347,714.4177171450347
cap,flocking,spatial_variance,0.1740322241822697,0.1740322241822697
cap,flocking,mean_dtw_distance,488.4310342483801,488.4310342483801
cap,flocking,spatial_variance,0.19411625427421242,0.19411625427421242
cap,flocking,mean_dtw_distance,572.0901231377184,572.0901231377184
cap,flocking,spatial_variance,6.373871153539012,6.373871153539012
cap,flocking,mean_dtw_distance,2045.2940988706907,2045.2940988706907
cap,flocking,spatial_variance,0.18003310882448773,0.18003310882448773
cap,flocking,mean_dtw_distance,609.1834511500658,609.1834511500658
cap,flocking,spatial_variance,11.799152731837228,11.799152731837228
cap,flocking,mean_dtw_distance,5760.151008520349,5760.151008520349
cap,flocking,spatial_variance,0.12167723601596545,0.12167723601596545
cap,flocking,mean_dtw_distance,499.92706794151644,499.92706794151644
cap,flocking,spatial_variance,6.1527878650998336,6.1527878650998336
cap,flocking,mean_dtw_distance,4004.530963232955,4004.530963232955
cap,flocking,spatial_variance,1.1132080723210804,1.1132080723210804
cap,flocking,mean_dtw_distance,2029.0476541340036,2029.0476541340036
cap,flocking,spatial_variance,0.5320898526573834,0.5320898526573834
cap,flocking,mean_dtw_distance,278.4945292999195,278.4945292999195
cap,flocking,spatial_variance,0.28516167532387493,0.28516167532387493
cap,flocking,mean_dtw_distance,186.81728147899344,186.81728147899344
cap,flocking,spatial_variance,0.24247254421756106,0.24247254421756106
cap,flocking,mean_dtw_distance,570.313404135125,570.313404135125
cap,flocking,spatial_variance,0.20805726396120566,0.20805726396120566
cap,flocking,mean_dtw_distance,583.2086766798164,583.2086766798164
cap,flocking,spatial_variance,0.567792644507998,0.567792644507998
cap,flocking,mean_dtw_distance,643.0086199492556,643.0086199492556
cap,flocking,spatial_variance,0.11241136728481269,0.11241136728481269
cap,flocking,mean_dtw_distance,490.1774449688951,490.1774449688951
cap,flocking,spatial_variance,1.2338061901487782,1.2338061901487782
cap,flocking,mean_dtw_distance,1269.26666482271,1269.26666482271
cap,flocking,spatial_variance,0.13242120368850158,0.13242120368850158
cap,flocking,mean_dtw_distance,378.96635249082885,378.96635249082885
cap,flocking,spatial_variance,0.18180143285136696,0.18180143285136696
cap,flocking,mean_dtw_distance,523.3860395324508,523.3860395324508
cap,flocking,spatial_variance,1.554685019378944,1.554685019378944
cap,flocking,mean_dtw_distance,2073.4383987012534,2073.4383987012534
cap,flocking,spatial_variance,0.23163170952738565,0.23163170952738565
cap,flocking,mean_dtw_distance,713.5766931668933,713.5766931668933
cap,flocking,spatial_variance,5.1040561553957,5.1040561553957
cap,flocking,mean_dtw_distance,2552.2403568750065,2552.2403568750065
cap,flocking,spatial_variance,0.15638525581099544,0.15638525581099544
cap,flocking,mean_dtw_distance,420.2956630123602,420.2956630123602
cap,flocking,spatial_variance,0.15879559934203802,0.15879559934203802
cap,flocking,mean_dtw_distance,445.1522130602283,445.1522130602283
cap,flocking,spatial_variance,0.26016693261952084,0.26016693261952084
cap,flocking,mean_dtw_distance,734.1044035613621,734.1044035613621
cap,flocking,spatial_variance,0.48307750906886365,0.48307750906886365
cap,flocking,mean_dtw_distance,176.23136846656362,176.23136846656362
cap,flocking,spatial_variance,0.37672009818575924,0.37672009818575924
cap,flocking,mean_dtw_distance,784.0427508122497,784.0427508122497
cap,flocking,spatial_variance,0.2696563855627348,0.2696563855627348
cap,flocking,mean_dtw_distance,633.7668945659145,633.7668945659145
cap,flocking,spatial_variance,0.26076212473356675,0.26076212473356675
cap,flocking,mean_dtw_distance,733.5139567577841,733.5139567577841
cap,flocking,spatial_variance,2.988883737256352,2.988883737256352
cap,flocking,mean_dtw_distance,2036.8976008273626,2036.8976008273626
cap,flocking,spatial_variance,2.853782145326215,2.853782145326215
cap,flocking,mean_dtw_distance,1255.2395100030317,1255.2395100030317
cap,flocking,spatial_variance,0.20694021354144315,0.20694021354144315
cap,flocking,mean_dtw_distance,478.38332426082906,478.38332426082906
cap,flocking,spatial_variance,0.15976211499603665,0.15976211499603665
cap,flocking,mean_dtw_distance,406.3511192243667,406.3511192243667
cap,flocking,spatial_variance,2.998711093193455,2.998711093193455
cap,flocking,mean_dtw_distance,2057.3059944169427,2057.3059944169427
cap,flocking,spatial_variance,4.776703475090778,4.776703475090778
cap,flocking,mean_dtw_distance,1559.7880918301198,1559.7880918301198
cap,flocking,spatial_variance,0.29971642383957964,0.29971642383957964
cap,flocking,mean_dtw_distance,194.47506728588442,194.47506728588442
cap,flocking,spatial_variance,1.1863342256958957,1.1863342256958957
cap,flocking,mean_dtw_distance,216.41244598961742,216.41244598961742
cap,flocking,spatial_variance,0.35343108231481785,0.35343108231481785
cap,flocking,mean_dtw_distance,212.60528107681435,212.60528107681435
cap,flocking,spatial_variance,0.10796757139960148,0.10796757139960148
cap,flocking,mean_dtw_distance,500.3692622355125,500.3692622355125
cap,flocking,spatial_variance,0.480231554520959,0.480231554520959
cap,flocking,mean_dtw_distance,1343.9690666762247,1343.9690666762247
cap,flocking,spatial_variance,0.32641845741843667,0.32641845741843667
cap,flocking,mean_dtw_distance,1192.0930983176283,1192.0930983176283
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.3333333333333333,0.6666666666666667
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.3333333333333333,0.6666666666666667
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.8333333333333334,0.16666666666666663
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.16666666666666666,0.8333333333333334
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.6666666666666666,0.33333333333333337
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.8333333333333334,0.16666666666666663
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.6666666666666666,0.33333333333333337
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.8333333333333334,0.16666666666666663
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.5,0.5
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,1.0,0.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,crossing,target_achievement_ratio,0.0,1.0
cap,aggregation,max_min_distance,2.3111887720306012,2.3111887720306012
cap,aggregation,max_min_distance,0.021159490041826212,0.021159490041826212
cap,aggregation,max_min_distance,1.0554697922557332,1.0554697922557332
cap,aggregation,max_min_distance,2.373872436255765,2.373872436255765
cap,aggregation,max_min_distance,2.1650973137552154,2.1650973137552154
cap,aggregation,max_min_distance,1.0120582943179748,1.0120582943179748
cap,aggregation,max_min_distance,0.002440743236159698,0.002440743236159698
cap,aggregation,max_min_distance,1.8490902999035772,1.8490902999035772
cap,aggregation,max_min_distance,1.5254039622092064,1.5254039622092064
cap,aggregation,max_min_distance,1.843856896157033,1.843856896157033
cap,aggregation,max_min_distance,4.788303182042372,4.788303182042372
cap,aggregation,max_min_distance,1.9823586060140663,1.9823586060140663
cap,aggregation,max_min_distance,3.195735100681821,3.195735100681821
cap,aggregation,max_min_distance,2.6426187567428605,2.6426187567428605
cap,aggregation,max_min_distance,1.4741281160982698,1.4741281160982698
cap,aggregation,max_min_distance,2.536045116742665,2.536045116742665
cap,aggregation,max_min_distance,2.479707127012224,2.479707127012224
cap,aggregation,max_min_distance,1.3845479699832473,1.3845479699832473
cap,aggregation,max_min_distance,1.3422312983123368,1.3422312983123368
cap,aggregation,max_min_distance,2.604301396141373,2.604301396141373
cap,aggregation,max_min_distance,1.5316170830211733,1.5316170830211733
cap,aggregation,max_min_distance,0.004450987078909063,0.004450987078909063
cap,aggregation,max_min_distance,1.9988749882446386,1.9988749882446386
cap,aggregation,max_min_distance,0.037499121409636516,0.037499121409636516
cap,aggregation,max_min_distance,0.013179732507658581,0.013179732507658581
cap,aggregation,max_min_distance,0.22758632165141324,0.22758632165141324
cap,aggregation,max_min_distance,2.5591835519882595,2.5591835519882595
cap,aggregation,max_min_distance,1.5790729342855891,1.5790729342855891
cap,aggregation,max_min_distance,0.06641775407588402,0.06641775407588402
cap,aggregation,max_min_distance,1.94612991441274,1.94612991441274
cap,aggregation,max_min_distance,0.12491287429516645,0.12491287429516645
cap,aggregation,max_min_distance,1.3753367925452742,1.3753367925452742
cap,aggregation,max_min_distance,-0.001559209765912728,-0.001559209765912728
cap,aggregation,max_min_distance,1.5437048852400206,1.5437048852400206
cap,aggregation,max_min_distance,2.015114792101589,2.015114792101589
cap,aggregation,max_min_distance,0.027053442859093085,0.027053442859093085
cap,aggregation,max_min_distance,0.09673920973184541,0.09673920973184541
cap,aggregation,max_min_distance,4.774270004481619,4.774270004481619
cap,aggregation,max_min_distance,1.07790497455958,1.07790497455958
cap,aggregation,max_min_distance,1.7575249904617063,1.7575249904617063
cap,aggregation,max_min_distance,2.365733976533168,2.365733976533168
cap,aggregation,max_min_distance,0.949379138055503,0.949379138055503
cap,aggregation,max_min_distance,1.7992888826416866,1.7992888826416866
cap,aggregation,max_min_distance,0.7498154039691929,0.7498154039691929
cap,aggregation,max_min_distance,0.03656322563355499,0.03656322563355499
cap,aggregation,max_min_distance,3.025351151206407,3.025351151206407
cap,aggregation,max_min_distance,2.4583052849723526,2.4583052849723526
cap,aggregation,max_min_distance,3.3982689618338497,3.3982689618338497
cap,aggregation,max_min_distance,1.9177080781388403,1.9177080781388403
cap,aggregation,max_min_distance,3.1027476787272006,3.1027476787272006
cap,aggregation,max_min_distance,2.563273309390814,2.563273309390814
cap,aggregation,max_min_distance,1.1194545747363356,1.1194545747363356
cap,aggregation,max_min_distance,0.016038982979053457,0.016038982979053457
cap,aggregation,max_min_distance,2.270429575990532,2.270429575990532
cap,aggregation,max_min_distance,3.017320350425018,3.017320350425018
cap,aggregation,max_min_distance,0.007687050196213435,0.007687050196213435
cap,aggregation,max_min_distance,2.209736621456952,2.209736621456952
cap,aggregation,max_min_distance,3.3292483809928615,3.3292483809928615
cap,aggregation,max_min_distance,2.645195485500699,2.645195485500699
cap,aggregation,max_min_distance,2.513058987239496,2.513058987239496
cap,aggregation,max_min_distance,1.296956264381673,1.296956264381673
cap,aggregation,max_min_distance,1.7177608859938165,1.7177608859938165
cap,aggregation,max_min_distance,0.13479872551122152,0.13479872551122152
cap,aggregation,max_min_distance,0.000995746860612462,0.000995746860612462
cap,aggregation,max_min_distance,3.3849213136002434,3.3849213136002434
cap,aggregation,max_min_distance,0.829631087744557,0.829631087744557
cap,aggregation,max_min_distance,0.0248193354977157,0.0248193354977157
cap,aggregation,max_min_distance,0.615670864174227,0.615670864174227
cap,aggregation,max_min_distance,2.152753802329279,2.152753802329279
cap,aggregation,max_min_distance,2.795628629591713,2.795628629591713
cap,aggregation,max_min_distance,1.7511188081328173,1.7511188081328173
cap,aggregation,max_min_distance,1.2533429170678652,1.2533429170678652
cap,aggregation,max_min_distance,1.6627090188407831,1.6627090188407831
cap,aggregation,max_min_distance,1.1432659408651127,1.1432659408651127
cap,aggregation,max_min_distance,1.6398776400241715,1.6398776400241715
cap,aggregation,max_min_distance,2.237416987527241,2.237416987527241
cap,aggregation,max_min_distance,0.023405945169202552,0.023405945169202552
cap,aggregation,max_min_distance,1.8941053670618084,1.8941053670618084
cap,aggregation,max_min_distance,1.6288488992021548,1.6288488992021548
cap,aggregation,max_min_distance,1.8603168600272044,1.8603168600272044
cap,aggregation,max_min_distance,0.03563381181716491,0.03563381181716491
cap,aggregation,max_min_distance,1.2453527734374503,1.2453527734374503
cap,aggregation,max_min_distance,0.0035379072940469047,0.0035379072940469047
cap,aggregation,max_min_distance,2.244497213213032,2.244497213213032
cap,aggregation,max_min_distance,2.9204243423668315,2.9204243423668315
cap,aggregation,max_min_distance,4.30336818497476,4.30336818497476
cap,aggregation,max_min_distance,1.838616537315905,1.838616537315905
cap,aggregation,max_min_distance,0.23424847637478075,0.23424847637478075
cap,aggregation,max_min_distance,1.1330154542163078,1.1330154542163078
cap,aggregation,max_min_distance,2.3473333534617256,2.3473333534617256
cap,aggregation,max_min_distance,-0.11805583146727475,-0.11805583146727475
cap,aggregation,max_min_distance,1.6199198490760571,1.6199198490760571
cap,aggregation,max_min_distance,0.017242940628051595,0.017242940628051595
cap,aggregation,max_min_distance,3.43020410804874,3.43020410804874
cap,aggregation,max_min_distance,2.162259852970807,2.162259852970807
cap,aggregation,max_min_distance,1.5138319302753391,1.5138319302753391
cap,aggregation,max_min_distance,2.7074873241933437,2.7074873241933437
cap,aggregation,max_min_distance,1.618697438526882,1.618697438526882
cap,aggregation,max_min_distance,0.08217753988849563,0.08217753988849563
cap,aggregation,max_min_distance,2.001663166523219,2.001663166523219
cap,shaping,procrustes_distance,0.6388731661551157,0.6388731661551157
cap,shaping,procrustes_distance,0.2058936386070616,0.2058936386070616
cap,shaping,procrustes_distance,0.6756810000096001,0.6756810000096001
cap,shaping,procrustes_distance,0.5834699973852031,0.5834699973852031
cap,shaping,procrustes_distance,0.7652859948842075,0.7652859948842075
cap,shaping,procrustes_distance,0.4878922322455399,0.4878922322455399
cap,shaping,procrustes_distance,0.23098027186842765,0.23098027186842765
cap,shaping,procrustes_distance,0.8039616236372663,0.8039616236372663
cap,shaping,procrustes_distance,0.00012937671860901068,0.00012937671860901068
cap,shaping,procrustes_distance,0.4167004146171943,0.4167004146171943
cap,shaping,procrustes_distance,0.40565329834680053,0.40565329834680053
cap,shaping,procrustes_distance,0.6090376623311188,0.6090376623311188
cap,shaping,procrustes_distance,0.00012447932986644968,0.00012447932986644968
cap,shaping,procrustes_distance,0.8554073037990693,0.8554073037990693
cap,shaping,procrustes_distance,0.5797182636055611,0.5797182636055611
cap,shaping,procrustes_distance,0.0013817809395170284,0.0013817809395170284
cap,shaping,procrustes_distance,0.07811206309504412,0.07811206309504412
cap,shaping,procrustes_distance,0.0016311815207093465,0.0016311815207093465
cap,shaping,procrustes_distance,0.055404228060446224,0.055404228060446224
cap,shaping,procrustes_distance,0.6866856718685815,0.6866856718685815
cap,shaping,procrustes_distance,0.09190385705004775,0.09190385705004775
cap,shaping,procrustes_distance,0.640916013061566,0.640916013061566
cap,shaping,procrustes_distance,0.8677355062605158,0.8677355062605158
cap,shaping,procrustes_distance,0.41647962703684016,0.41647962703684016
cap,shaping,procrustes_distance,0.2774913103630467,0.2774913103630467
cap,shaping,procrustes_distance,0.660600607012707,0.660600607012707
cap,shaping,procrustes_distance,0.9043692254921898,0.9043692254921898
cap,shaping,procrustes_distance,0.7488859469402477,0.7488859469402477
cap,shaping,procrustes_distance,0.937947160338904,0.937947160338904
cap,shaping,procrustes_distance,0.00016849172161435903,0.00016849172161435903
cap,shaping,procrustes_distance,0.0009524516188540353,0.0009524516188540353
cap,shaping,procrustes_distance,0.572735139254417,0.572735139254417
cap,shaping,procrustes_distance,0.0014318374414165641,0.0014318374414165641
cap,shaping,procrustes_distance,0.6796203530192312,0.6796203530192312
cap,shaping,procrustes_distance,0.4716067961855322,0.4716067961855322
cap,shaping,procrustes_distance,0.5391809994112474,0.5391809994112474
cap,shaping,procrustes_distance,0.28321809050323266,0.28321809050323266
cap,shaping,procrustes_distance,0.09392939753741956,0.09392939753741956
cap,shaping,procrustes_distance,0.1270774464914169,0.1270774464914169
cap,shaping,procrustes_distance,0.0006147448191048953,0.0006147448191048953
cap,shaping,procrustes_distance,0.682881758684866,0.682881758684866
cap,shaping,procrustes_distance,0.6276047673316216,0.6276047673316216
cap,shaping,procrustes_distance,0.00046171681856672583,0.00046171681856672583
cap,shaping,procrustes_distance,0.8786466418218197,0.8786466418218197
cap,shaping,procrustes_distance,0.7477664248121904,0.7477664248121904
cap,shaping,procrustes_distance,0.851310162368172,0.851310162368172
cap,shaping,procrustes_distance,0.8695929083161443,0.8695929083161443
cap,shaping,procrustes_distance,0.0005223262008675796,0.0005223262008675796
cap,shaping,procrustes_distance,0.6238870591049996,0.6238870591049996
cap,shaping,procrustes_distance,0.7884847988972206,0.7884847988972206
cap,shaping,procrustes_distance,0.0002680202998219808,0.0002680202998219808
cap,shaping,procrustes_distance,0.3123017339314707,0.3123017339314707
cap,shaping,procrustes_distance,0.34858605187303093,0.34858605187303093
cap,shaping,procrustes_distance,0.8180329681971733,0.8180329681971733
cap,shaping,procrustes_distance,0.6246221205549933,0.6246221205549933
cap,shaping,procrustes_distance,0.2325264984938923,0.2325264984938923
cap,shaping,procrustes_distance,0.7883401277542682,0.7883401277542682
cap,shaping,procrustes_distance,0.0005270226998715934,0.0005270226998715934
cap,shaping,procrustes_distance,0.38491151669772544,0.38491151669772544
cap,shaping,procrustes_distance,0.7330882553570871,0.7330882553570871
cap,shaping,procrustes_distance,0.00016818518670806264,0.00016818518670806264
cap,shaping,procrustes_distance,0.005388814654690269,0.005388814654690269
cap,shaping,procrustes_distance,0.8158911655916448,0.8158911655916448
cap,shaping,procrustes_distance,0.9424508777691142,0.9424508777691142
cap,shaping,procrustes_distance,0.07925987518769764,0.07925987518769764
cap,shaping,procrustes_distance,0.6706448147313465,0.6706448147313465
cap,shaping,procrustes_distance,0.7440404020186913,0.7440404020186913
cap,shaping,procrustes_distance,0.5910275241232446,0.5910275241232446
cap,shaping,procrustes_distance,0.795514245719582,0.795514245719582
cap,shaping,procrustes_distance,0.7992767269040297,0.7992767269040297
cap,shaping,procrustes_distance,0.0016465171569854623,0.0016465171569854623
cap,shaping,procrustes_distance,0.0005347131491144562,0.0005347131491144562
cap,shaping,procrustes_distance,0.7245980035854361,0.7245980035854361
cap,shaping,procrustes_distance,0.5812400525801538,0.5812400525801538
cap,shaping,procrustes_distance,0.7442962664754522,0.7442962664754522
cap,shaping,procrustes_distance,0.35577908824702004,0.35577908824702004
cap,shaping,procrustes_distance,0.8107910564509169,0.8107910564509169
cap,shaping,procrustes_distance,0.7051078869991707,0.7051078869991707
cap,shaping,procrustes_distance,0.8673443398417833,0.8673443398417833
cap,shaping,procrustes_distance,0.5628525529350744,0.5628525529350744
cap,shaping,procrustes_distance,0.9032399681078445,0.9032399681078445
cap,shaping,procrustes_distance,0.609016965756006,0.609016965756006
cap,shaping,procrustes_distance,0.8151409758098112,0.8151409758098112
